SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
102033 3 3 2 1 1 1 1 1 1 2 1 1 2 2 1 2 2 33211111121122122 1 0.5 0.5 1 0
102034 3 3 2 1 1 2 2 1 1 2 1 1 2 2 1 1 2 33211221121122112 1 0.5 0.5 1 0
102035 1 3 2 3 3 1 2 1 1 1 1 1 2 2 1 1 2 13233121111122112 1 0.5 0.5 0.7656 0.2344
102036 3 3 2 1 1 1 3 1 2 1 1 1 2 2 1 2 2 33211131211122122 1 0.5 0.5 1 0
102037 3 1 1 1 1 4 2 1 2 1 4 1 1 1 2 1 2 31111421214111212 1 0.5 0.5 1 0
102038 3 1 1 3 3 2 2 1 1 1 4 1 1 1 2 1 2 31133221114111212 1 0.5 0.5 0.4529 0.5471
102039 3 1 2 2 2 1 3 1 1 2 3 2 1 1 2 2 2 31222131123211222 1 0.5 0.5 0.6991 0.3009
102040 1 1 1 2 2 4 5 1 1 2 4 1 1 1 2 2 2 11122451124111222 1 0.5 0.5 1 0
102041 3 1 2 1 1 3 2 1 1 2 3 1 1 1 2 1 2 31211321123111212 1 0.5 0.5 1 0
102042 1 2 1 4 2 4 2 1 1 1 4 1 1 1 2 1 2 12142421114111212 1 0.5 0.5 0.4977 0.5023
102043 2 1 2 1 1 4 3 1 1 1 4 1 1 1 2 1 2 21211431114111212 1 0.5 0.5 1 0
102044 3 1 2 3 3 4 3 1 1 1 3 1 1 1 2 1 2 31233431113111212 1 0.5 0.5 0.2047 0.7953
102045 3 1 2 2 2 4 2 1 1 1 2 1 1 1 2 1 2 31222421112111212 1 0.5 0.5 1 0
102046 1 1 1 2 2 1 3 1 1 2 2 1 1 2 2 1 2 11122131122112212 1 0.5 0.5 1 0
102047 1 1 2 1 1 1 3 1 1 2 2 1 1 1 2 1 2 11211131122111212 1 0.5 0.5 1 0
102048 2 1 2 1 1 3 2 1 1 2 3 1 1 1 2 1 2 21211321123111212 2 0.5 0.5 1 0
102049 3 1 2 1 1 3 2 1 1 1 3 1 1 1 2 1 2 31211321113111212 1 0.5 0.5 1 0
102050 3 1 2 1 1 4 5 1 1 1 1 1 1 2 2 2 2 31211451111112222 1 0.5 0.5 1 0
102051 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 2 11211111121121112 1 0.5 0.5 1 0
102052 1 2 1 4 4 4 4 1 1 1 1 2 1 1 2 1 2 12144441111211212 1 0.5 0.5 0 1
102053 3 1 1 3 3 2 4 1 1 1 1 2 1 1 2 2 2 31133241111211222 2 0.5 0.5 0 1
102054 3 1 2 3 3 2 4 1 1 1 1 2 1 1 2 1 2 31233241111211212 1 0.5 0.5 0 1
102055 2 1 1 3 3 4 3 1 1 1 1 2 1 1 2 1 2 21133431111211212 1 0.5 0.5 0 1
102056 1 2 2 4 3 1 4 1 1 2 1 2 1 1 2 2 2 12243141121211222 1 0.5 0.5 0 1
102057 3 2 1 4 4 4 4 1 1 2 1 2 1 1 2 1 2 32144441121211212 1 0.5 0.5 0 1
102058 2 2 2 4 4 1 4 1 1 2 3 2 1 1 2 1 2 22244141123211212 1 0.5 0.5 0 1
102059 3 2 1 4 3 1 3 1 1 1 1 2 1 1 2 2 2 32143131111211222 1 0.5 0.5 0 1
102060 3 1 2 3 3 1 4 1 1 1 1 2 1 1 2 1 2 31233141111211212 1 0.5 0.5 0 1
102061 3 1 1 3 3 4 3 1 1 2 2 1 1 1 2 2 2 31133431122111222 1 0.5 0.5 0.0731 0.9269
102062 3 1 2 3 3 4 2 1 1 2 1 2 1 1 2 2 2 31233421121211222 1 0.5 0.5 0.2538 0.7462
102063 3 2 2 4 3 3 3 1 1 2 1 2 1 1 2 1 2 32243331121211212 1 0.5 0.5 0 1
102064 2 1 2 3 3 3 2 1 1 1 2 1 1 1 2 1 2 21233321112111212 1 0.5 0.5 0.4814 0.5186
102065 1 1 3 3 3 2 3 1 1 1 1 2 1 1 2 1 2 11333231111211212 1 0.5 0.5 0 1
102066 2 2 1 4 4 3 3 1 1 2 1 2 1 1 2 1 2 22144331121211212 1 0.5 0.5 0 1
102067 3 1 2 3 3 4 4 1 1 1 2 2 1 1 2 1 2 31233441112211212 1 0.5 0.5 0 1
102068 1 1 1 2 2 1 3 1 1 1 2 2 1 1 2 1 2 11122131112211212 1 0.5 0.5 0.6314 0.3686
102069 3 1 2 2 2 1 3 1 1 2 1 2 1 1 2 2 2 31222131121211222 1 0.5 0.5 0.6021 0.3979
102070 3 1 1 1 1 3 2 1 1 2 1 2 1 1 2 1 2 31111321121211212 1 0.5 0.5 0.6966 0.3034
102071 1 1 1 1 1 2 3 1 1 1 2 2 1 1 2 2 2 11111231112211222 1 0.5 0.5 0.6897 0.3103
102072 3 1 1 3 3 2 4 1 1 1 1 2 1 1 2 2 2 31133241111211222 2 0.5 0.5 0 1
102073 3 2 2 4 2 3 3 1 1 1 1 2 1 1 2 1 2 32242331111211212 1 0.5 0.5 0 1
102074 3 1 1 1 1 3 2 1 1 1 3 2 1 1 2 2 2 31111321113211222 2 0.5 0.5 0.7613 0.2387
102075 3 2 2 4 3 4 3 1 1 2 2 2 1 1 2 1 2 32243431122211212 1 0.5 0.5 0 1
102076 3 1 1 1 1 2 3 1 1 1 2 2 1 1 2 1 2 31111231112211212 1 0.5 0.5 0.5972 0.4028
102077 3 1 1 1 1 3 2 1 1 1 2 2 1 1 2 2 2 31111321112211222 1 0.5 0.5 0.7325 0.2675
102078 2 1 1 3 3 1 3 1 1 2 1 2 1 1 2 1 2 21133131121211212 1 0.5 0.5 0 1
102079 2 2 2 4 3 4 3 1 1 1 1 2 1 1 2 1 2 22243431111211212 1 0.5 0.5 0 1
102080 3 2 2 4 3 2 2 2 1 2 3 2 1 1 2 1 2 32243222123211212 1 0.5 0.5 0.3024 0.6976
102081 2 2 1 4 3 1 2 2 1 2 2 2 1 1 2 1 2 22143122122211212 1 0.5 0.5 0.2411 0.7589
102082 2 1 2 3 3 3 3 1 1 1 1 2 1 1 2 1 2 21233331111211212 1 0.5 0.5 0 1
102083 2 1 2 3 3 2 3 1 1 1 1 2 1 1 2 1 2 21233231111211212 1 0.5 0.5 0 1
102084 3 1 1 2 2 3 2 1 1 1 2 2 1 1 2 2 2 31122321112211222 1 0.5 0.5 0.7036 0.2964
102085 3 1 1 1 1 3 2 1 1 2 3 2 1 1 2 2 2 31111321123211222 1 0.5 0.5 0.7734 0.2266
102086 3 1 1 1 1 3 3 1 1 1 2 2 1 1 2 1 2 31111331112211212 1 0.5 0.5 0.5606 0.4394
102087 3 2 1 4 3 1 3 1 1 2 1 2 1 1 2 1 2 32143131121211212 1 0.5 0.5 0 1
